parameter,mean,sd,Q16,Q50,Q84
Pn,8.328504086342843,0.11499806004547061,8.21304087350783,8.328497051813597,8.44157723122122
A1,3326.954151991746,515.3979458077475,2815.663255984583,3300.9596556823335,3838.0122227073075
b1,2.7441671127092904,0.37041350302065923,2.3786880140556677,2.734352046058663,3.1037850026145346
A2,3356.4183304819,129.22302018474574,3229.0910778045845,3354.120843354834,3484.330313098439
b2,20.39921916040289,0.6131587893278478,19.79454852499427,20.381650089902273,21.021552836001426
A3,746.4482931080726,44.343141916775444,702.6320170462008,747.1065056717412,790.1395688459439
b3,66.42999781990002,1.0322338187315223,65.42159152451538,66.37675805933895,67.43356350682463
Pg,1031.7600115843454,29.973227197866805,1001.700879691814,1031.144523255614,1061.6541292191494
numax,70.94103796014922,0.2856686852442612,70.65645633727934,70.94801392502605,71.2217287215934
sigmaEnv,10.129988545988482,0.23417134845321444,9.898729164958397,10.126605546458975,10.36489839117077
lnprob,-195672.680563226,2.240826128104454,-195674.83124716612,-195672.36110499373,-195670.51741578334
